id,title,brand,season,gender,color,category,detail,hashtag,image,url,style,temperature
639,MTOF4 MAXI OPS(KHAKI),라티젠,2020  S/S,['여'],카키,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540068/1540068_1_500.jpg,https://store.musinsa.com/app/product/detail/1540068/0,포멀,20.0
640,MTOF4 WRAP OPS(WHITE),라티젠,2020  S/S,['여'],흰색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540064/1540064_1_500.jpg,https://store.musinsa.com/app/product/detail/1540064/0,포멀,20.0
641,MTOF4 COLLAR OPS(NAVY),라티젠,2020  S/S,['여'],네이비,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540074/1540074_1_500.jpg,https://store.musinsa.com/app/product/detail/1540074/0,포멀,20.0
642,MTOF4 COLLAR OPS(GREEN),라티젠,2020  S/S,['여'],녹색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540073/1540073_1_500.jpg,https://store.musinsa.com/app/product/detail/1540073/0,포멀,20.0
643,MTOF4 MAXI OPS(BLACK),라티젠,2020  S/S,['여'],검정색,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540069/1540069_1_500.jpg,https://store.musinsa.com/app/product/detail/1540069/0,포멀,20.0
644,MTOF4 SHIRT OPS(APPLE GREEN),라티젠,2020  S/S,['여'],라이트 그린,원피스,맥시 원피스,[],https://image.msscdn.net/images/goods_img/20200806/1540066/1540066_1_500.jpg,https://store.musinsa.com/app/product/detail/1540066/0,포멀,20.0
645,TO2-STRING SLIP OPS BLUE,바이바이섭,2020  S/S,['여'],파란색,원피스,맥시 원피스,"['#롱원피스', '#슬립원피스', '#슬릿원피스', '#체크원피스']",https://image.msscdn.net/images/goods_img/20200805/1537417/1537417_2_500.jpg,https://store.musinsa.com/app/product/detail/1537417/0,포멀,20.0
646,DENIM OVERALL (BLUE),더스토리,ALL  ALL,['남'],데님,원피스,점프 슈트,"['#데님', '#멜빵바지', '#오버롤', '#청바지', '#OVERALL']",https://image.msscdn.net/images/goods_img/20190130/944501/944501_4_500.jpg,https://store.musinsa.com/app/product/detail/944501/0,포멀,17.0
647,4.26 AIRY DRESS_CLOUDY BLUE,이슈넘버,2020  S/S,['여'],플라워,원피스,미니 원피스,[],https://image.msscdn.net/images/goods_img/20200805/1537810/1537810_1_500.jpg,https://store.musinsa.com/app/product/detail/1537810/0,포멀,20.0
648,CROSS STRIPE BUTTON DRESS_OATMEAL,로맨틱크라운,2020  F/W,['여'],체크,원피스,미니 원피스,"['#드레스', '#버튼', '#체크', '#패턴드레스']",https://image.msscdn.net/images/goods_img/20200810/1542714/1542714_1_500.jpg,https://store.musinsa.com/app/product/detail/1542714/0,캐주얼,20.0
649,4.26 AIRY DRESS_FOREST GREEN,이슈넘버,2020  S/S,['여'],녹색,원피스,미니 원피스,[],https://image.msscdn.net/images/goods_img/20200805/1537828/1537828_1_500.jpg,https://store.musinsa.com/app/product/detail/1537828/0,포멀,20.0
