id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
21,5.5CM 소가죽 미니멀 더비 564,야세,2020  ALL,['남'],검정색,신발,구두,"['#더비슈즈', '#소가죽구두', '#소가죽남자구두', '#소가죽더비', '#야세슈즈', '#키높이구두', '#YASESHOES']",https://image.msscdn.net/images/goods_img/20200729/1530715/1530715_2_500.jpg,https://store.musinsa.com/app/product/detail/1530715/0,20,포멀
22,5.5CM 소가죽 미니멀 스퀘어 더비 565,야세,2020  ALL,['남'],검정색,신발,구두,"['#소가죽구두', '#소가죽더비', '#소가죽스퀘어더비', '#스퀘어더비', '#야세슈즈', '#키높이구두', '#YASESHOES']",https://image.msscdn.net/images/goods_img/20200729/1530714/1530714_2_500.jpg,https://store.musinsa.com/app/product/detail/1530714/0,20,포멀
23,MS5102 로크 더블솔 첼시부츠 블랙 [250~280mm],파스코로젠,2020  ALL,['남'],검정색,신발,부츠,[],https://image.msscdn.net/images/goods_img/20200728/1529049/1529049_1_500.jpg,https://store.musinsa.com/app/product/detail/1529049/0,17,포멀
24,WTRD5107 Robert Chelsea Boots Black [245~290MM],위더로드,2020  ALL,['남'],검정색,신발,부츠,"['#남자부츠', '#남자첼시', '#워커부츠', '#첼시부츠', '#WTRD']",https://image.msscdn.net/images/goods_img/20200727/1528128/1528128_17_500.jpg,https://store.musinsa.com/app/product/detail/1528128/0,17,포멀
25,REEBOK COMFORT SLID BLACK/WHITE/BLACK,리복,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#로고슬라이드', '#로고슬리퍼', '#슬라이드', '#실내화', '#컴포트']",https://image.msscdn.net/images/goods_img/20200612/1482924/1482924_2_500.jpg,https://store.musinsa.com/app/product/detail/1482924/0,23,캐주얼
26,2nd Atelier 와이드웰트 아웃솔 천연소가죽 볼륨 더비슈즈  2NDF1300GB,피렌체 아뜨리에,2020  ALL,['남'],검정색,신발,구두,"['#남자더비', '#남자더비슈즈', '#더비', '#더비구두', '#더비슈즈', '#세컨드아뜨리에']",https://image.msscdn.net/images/goods_img/20200504/1430076/1430076_3_500.jpg,https://store.musinsa.com/app/product/detail/1430076/0,20,포멀
27,2nd Atelier 와이드웰트 아웃솔 천연소가죽 베이직 페니로퍼  2NDF1100GB,피렌체 아뜨리에,2020  ALL,['남'],검정색,신발,로퍼,"['#가죽', '#남자로퍼', '#로퍼', '#세컨드아뜨리에', '#페니', '#페니로퍼']",https://image.msscdn.net/images/goods_img/20200504/1430070/1430070_3_500.jpg,https://store.musinsa.com/app/product/detail/1430070/0,20,포멀
28,504 5.5CM 미니멀 스퀘어 로퍼,야세,2020  ALL,['남'],기타,신발,구두,"['#로퍼', '#미니멀', '#스퀘어토']",https://image.msscdn.net/images/goods_img/20200207/1296050/1296050_1_500.jpg,https://store.musinsa.com/app/product/detail/1296050/0,20,포멀
29,1461 RS Black Smooth,닥터마틴,2020  S/S,"['남,여']",검정색,신발,로퍼,"['#구두', '#더비슈즈', '#로퍼', '#블랙', '#1461', '#3홀']",https://image.msscdn.net/images/goods_img/20200120/1275368/1275368_1_500.jpg,https://store.musinsa.com/app/product/detail/1275368/0,20,ALL
30,1460 RS Black Smooth,닥터마틴,2020  S/S,"['남,여']",검정색,신발,부츠,"['#가죽부츠', '#레더부츠', '#부츠', '#블랙', '#신발', '#워커', '#1460']",https://image.msscdn.net/images/goods_img/20200120/1275366/1275366_1_500.jpg,https://store.musinsa.com/app/product/detail/1275366/0,17,ALL
