id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
916,FOUR HEM LONG-SKIRT C418SK001-BL,슈엣뜨 샤폐,2019  S/S,['여'],데님,스커트,롱스커트,"['#데님', '#데님스커트', '#롱스커트', '#주름치마', '#청치마']",https://image.msscdn.net/images/goods_img/20190610/1068334/1068334_1_500.jpg,https://store.musinsa.com/app/product/detail/1068334/0,20.0,캐주얼
917,FOR BACK SLIT SKIRT SKYBLUE,리올그,2020  S/S,['여'],스카이 블루,스커트,미디스커트,"['#롱스커트', '#리올그.REORG', '#스커트', '#슬릿스커트']",https://image.msscdn.net/images/goods_img/20200130/1285210/1285210_1_500.jpg,https://store.musinsa.com/app/product/detail/1285210/0,20.0,ALL
918,[패키지]오버핏 메모리 윈드브레이커 스커트 세트_블랙,엔엠엑스,2020  S/S,['여'],검정색,스커트,미니스커트,"['#바람막이', '#셋업', '#스커트', '#윈드브레이커']",https://image.msscdn.net/images/goods_img/20200629/1499654/1499654_1_500.jpg,https://store.musinsa.com/app/product/detail/1499654/0,23.0,캐주얼
919,20 패턴롱스커트 BLACK,피버타임,2020  S/S,['여'],검정색,스커트,롱스커트,[],https://image.msscdn.net/images/goods_img/20200507/1434886/1434886_1_500.jpg,https://store.musinsa.com/app/product/detail/1434886/0,20.0,캐주얼
920,(W) Sainte Skirt - Red,메리제임스,2019  S/S,['여'],빨간색,스커트,미니스커트,"['#스커트', '#체크스커트', '#치마']",https://image.msscdn.net/images/goods_img/20190618/1075604/1075604_1_500.jpg,https://store.musinsa.com/app/product/detail/1075604/0,23.0,캐주얼
921,CHECK MERMAID SKIRT,마조팩토리,2019  S/S,['여'],체크,스커트,롱스커트,"['#시원한', '#여름스커트', '#체크']",https://image.msscdn.net/images/goods_img/20190705/1091407/1091407_1_500.jpg,https://store.musinsa.com/app/product/detail/1091407/0,20.0,캐주얼
922,Heart Coloration Knit Skirt_Ivory,하트클럽,2019  F/W,['여'],아이보리,스커트,미니스커트,['#니트스커트'],https://image.msscdn.net/images/goods_img/20191210/1247999/1247999_3_500.jpg,https://store.musinsa.com/app/product/detail/1247999/0,23.0,캐주얼
923,NOI074 back slit denim long skirt (light blue),노이아고,2020  S/S,['여'],스카이 블루,스커트,롱스커트,"['#데님', '#데님스커트', '#스커트', '#청치마', '#치마']",https://image.msscdn.net/images/goods_img/20200713/1513930/1513930_1_500.jpg,https://store.musinsa.com/app/product/detail/1513930/0,20.0,캐주얼
924,SMILE DAILY SKIRT,론론,2020  S/S,['여'],검정색,스커트,미니스커트,"['#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200213/1304212/1304212_1_500.jpg,https://store.musinsa.com/app/product/detail/1304212/0,23.0,캐주얼
925,BANDING SWEAT SKIRT [PINK],러닝하이,2018  F/W,['여'],분홍색,스커트,미니스커트,"['#밴딩', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20181119/907945/907945_1_500.jpg,https://store.musinsa.com/app/product/detail/907945/0,23.0,캐주얼
926,핑크 깅엄 체크 울 미니 스커트,룩캐스트,2019  F/W,['여'],분홍색,스커트,미니스커트,['#체크'],https://image.msscdn.net/images/goods_img/20190919/1159031/1159031_1_500.jpg,https://store.musinsa.com/app/product/detail/1159031/0,23.0,ALL
927,Tartan Check Knit Skirt_Navy,로맨틱크라운,2018  F/W,['여'],기타,스커트,미디스커트,"['#니트', '#스커트', '#체크', '#치마']",https://image.msscdn.net/images/goods_img/20180918/861187/861187_2_500.jpg,https://store.musinsa.com/app/product/detail/861187/0,20.0,캐주얼
928,19FW COTTON POCKET SKIRT BLACK,비슬로우,2019  F/W,['여'],검정색,스커트,미디스커트,"['#비슬로우스탠다드', '#스커트', '#스탠다드', '#BESLOWSTANDARD']",https://image.msscdn.net/images/goods_img/20190801/1107760/1107760_1_500.jpg,https://store.musinsa.com/app/product/detail/1107760/0,20.0,캐주얼
929,A LINE MIDDI SKIRT_NV,언에디트,2020  S/S,['여'],네이비,스커트,미디스커트,"['#미디스커트', '#에이라인스커트', '#여름스커트']",https://image.msscdn.net/images/goods_img/20200519/1453963/1453963_1_500.jpg,https://store.musinsa.com/app/product/detail/1453963/0,20.0,캐주얼
930,그린 줄리 도트 실키 스커트,룩캐스트,2020  S/S,['여'],녹색,스커트,롱스커트,[],https://image.msscdn.net/images/goods_img/20200325/1367903/1367903_1_500.jpg,https://store.musinsa.com/app/product/detail/1367903/0,20.0,ALL
931,DIAGONAL MINI SKIRT BLACK,바이바이섭,2017  F/W,['여'],검정색,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20170910/629020/629020_1_500.jpg,https://store.musinsa.com/app/product/detail/629020/0,23.0,ALL
932,STITCH BELT SKIRT WH,노이커먼,2020  S/S,['여'],흰색,스커트,미니스커트,"['#데님스커트', '#미디스커트', '#스커트']",https://image.msscdn.net/images/goods_img/20200622/1492953/1492953_1_500.jpg,https://store.musinsa.com/app/product/detail/1492953/0,23.0,캐주얼
933,(W) FAIR LOVE SKIRT - SKYBLUE,아파트먼트,2019  F/W,['여'],파란색,스커트,미니스커트,"['#스커트', '#아파트걸', '#치마']",https://image.msscdn.net/images/goods_img/20191003/1175845/1175845_1_500.jpg,https://store.musinsa.com/app/product/detail/1175845/0,23.0,캐주얼
934,LOVERS KNIT SKIRT_BLACK,타게토,2019  S/S,['여'],검정색,스커트,미니스커트,"['#니트', '#도트', '#스커트']",https://image.msscdn.net/images/goods_img/20190122/937879/937879_2_500.jpg,https://store.musinsa.com/app/product/detail/937879/0,23.0,캐주얼
935,NYLON BEND SK(Black)(Khaki),맥파이로빈,2020  S/S,['여'],검정색,스커트,미니스커트,['#밴딩스커트'],https://image.msscdn.net/images/goods_img/20200420/1411504/1411504_1_500.jpg,https://store.musinsa.com/app/product/detail/1411504/0,23.0,캐주얼
936,100% cotton pencil skirt_4IH6506M535A,베네통,2020  S/S,['여'],카키,스커트,미디스커트,[],https://image.msscdn.net/images/goods_img/20200312/1348534/1348534_1_500.jpg,https://store.musinsa.com/app/product/detail/1348534/0,20.0,ALL
937,SATIN MERMAID SLIT SKIRT KHAKI,리올그,2019  F/W,['여'],카키,스커트,미디스커트,"['#롱스커트', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20191107/1216126/1216126_1_500.jpg,https://store.musinsa.com/app/product/detail/1216126/0,20.0,ALL
938,COR T2 SK13,코르카,2020  S/S,['여'],보라색,스커트,롱스커트,"['#롱스커트', '#스커트', '#여름스커트']",https://image.msscdn.net/images/goods_img/20200708/1509524/1509524_1_500.jpg,https://store.musinsa.com/app/product/detail/1509524/0,20.0,ALL
939,CARE BEARS WAVE SKIRT BLACK,론론,2020  S/S,['여'],검정색,스커트,미니스커트,"['#론론X케어베어', '#스커트', '#케어베어']",https://image.msscdn.net/images/goods_img/20200401/1379123/1379123_2_500.jpg,https://store.musinsa.com/app/product/detail/1379123/0,23.0,캐주얼
940,SATIN PLEATS LONG SKIRT [DUSTY GREEN],무신사 스탠다드,2020  ALL,['여'],녹색,스커트,롱스커트,"['#맥시스커트', '#무신사스탠다드우먼즈', '#치마', '#A라인']",https://image.msscdn.net/images/goods_img/20200520/1455368/1455368_1_500.jpg,https://store.musinsa.com/app/product/detail/1455368/0,20.0,ALL
